id_cp_interaction	CellType_a	CellType_b	gene_a	gene_b	expValues_a	expValues_b	pValue	mean	significant_mean	annotation_strategy	interacting_pair	Ligand	Receptor	top50的significant_mean的编号
CPI-SS034D36D2F	Th2	Th2	HLA-C	FAM3C	3.091	0.088	0	1.59	1.59	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS034D36D2F	Th2	CD1C+CLEC10A+IL1Bhigh DC	HLA-C	FAM3C	3.091	0.085	0	1.588	1.588	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS0822AEF5F	Th2	FCN1+VCAN+IL1Bhigh Monocytes	PTPRC	MRC1	2.118	1.055	0	1.586	1.586	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS034D36D2F	Th2	CD1C+CLEC10A+IL1Blow DC	HLA-C	FAM3C	3.091	0.059	0	1.575	1.575	InnateDB-All	HLA-C_FAM3C	HLA-C	FAM3C	7
CPI-SS09808DEAE	Th2	Fibroblast 1	CD74	APP	1.704	1.416	0	1.56	1.56	curated	CD74_APP	CD74	APP	8
CPI-SS00577086D	Th2	Fibroblast 0	FTL	SCARA5	2.615	0.463	0	1.539	1.539	curated	FTL_SCARA5	FTL	SCARA5	9
CPI-SS03339363E	Th2	Effector CD8 T	HLA-E	KLRK1	2.152	0.915	0	1.533	1.533	curated	HLA-E_KLRK1	HLA-E	KLRK1	10
CPI-SS0822AEF5F	Th2	CD1C+CLEC10A+IL1Bhigh DC	PTPRC	MRC1	2.118	0.947	0	1.532	1.532	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS00577086D	Th2	Fibroblast 1	FTL	SCARA5	2.615	0.278	0	1.446	1.446	curated	FTL_SCARA5	FTL	SCARA5	9
CPI-SS02ACCF1F7	Th2	DC-like Monocytes	MIF	TNFRSF14	2.288	0.599	0	1.443	1.443	I2D,IntAct	MIF_TNFRSF14	MIF	TNFRSF14	11
CPI-SS03339363E	Th2	NK and gdT	HLA-E	KLRK1	2.152	0.731	0	1.441	1.441	curated	HLA-E_KLRK1	HLA-E	KLRK1	10
CPI-SS02ACCF1F7	Th2	CD1C+CLEC10A+IL1Blow DC	MIF	TNFRSF14	2.288	0.565	0.01	1.426	1.426	I2D,IntAct	MIF_TNFRSF14	MIF	TNFRSF14	11
CPI-SS09808DEAE	Th2	Keratinocyte 6	CD74	APP	1.704	1.145	0	1.424	1.424	curated	CD74_APP	CD74	APP	8
CPI-SS052C9BB74	Th2	CD1C+CLEC10A+IL1Bhigh DC	NR3C1	CXCL8	0.806	2.04	0	1.423	1.423	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS02ACCF1F7	Th2	Treg	MIF	TNFRSF14	2.288	0.548	0.01	1.418	1.418	I2D,IntAct	MIF_TNFRSF14	MIF	TNFRSF14	11
CPI-SS073C1B796	Th2	CD1C+CLEC10A+IL1Blow DC	CD52	SIGLEC10	2.454	0.345	0	1.4	1.4	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS00577086D	Th2	Fibroblast 6	FTL	SCARA5	2.615	0.182	0	1.398	1.398	curated	FTL_SCARA5	FTL	SCARA5	9
CPI-SS03EF699C7	Th2	NK and gdT	HLA-E	KLRC1	2.152	0.628	0	1.39	1.39	curated	HLA-E_KLRC1	HLA-E	KLRC1	13
CPI-SS073C1B796	Th2	Langerhans cells	CD52	SIGLEC10	2.454	0.305	0	1.38	1.38	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS0F739D3DB	Th2	FCN1+VCAN+IL1Bhigh Monocytes	ANXA1	FPR1	1.843	0.867	0	1.355	1.355	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS09808DEAE	Th2	Fibroblast 0	CD74	APP	1.704	0.988	0	1.346	1.346	curated	CD74_APP	CD74	APP	8
CPI-SS0822AEF5F	Th2	CD1C+CLEC10A+IL1Blow DC	PTPRC	MRC1	2.118	0.548	0	1.333	1.333	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS073C1B796	Th2	DC-like Monocytes	CD52	SIGLEC10	2.454	0.2	0	1.327	1.327	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS0A84B95C5	Th2	Keratinocyte CCL2+ Cluster3	NR3C1	CCL2	0.806	1.848	0	1.327	1.327	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS09808DEAE	Th2	Fibroblast 6	CD74	APP	1.704	0.933	0	1.319	1.319	curated	CD74_APP	CD74	APP	8
CPI-SS0D4C221B8	Th2	NK and gdT	ICAM1	AREG	0.244	2.387	0	1.316	1.316	InnateDB-All	ICAM1_AREG	ICAM1	AREG	16
CPI-SS073C1B796	Th2	Proliferating T	CD52	SIGLEC10	2.454	0.148	0	1.301	1.301	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS073C1B796	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD52	SIGLEC10	2.454	0.143	0	1.298	1.298	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS09808DEAE	Th2	Keratinocyte 1	CD74	APP	1.704	0.84	0	1.272	1.272	curated	CD74_APP	CD74	APP	8
CPI-SS073C1B796	Th2	APOE+CD9+ Monocytes	CD52	SIGLEC10	2.454	0.086	0	1.27	1.27	curated	CD52_SIGLEC10	CD52	SIGLEC10	12
CPI-SS09808DEAE	Th2	Keratinocyte 7	CD74	APP	1.704	0.833	0	1.269	1.269	curated	CD74_APP	CD74	APP	8
CPI-SS052C9BB74	Th2	CD1C+CLEC10A+IL1Blow DC	NR3C1	CXCL8	0.806	1.719	0	1.262	1.262	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS03EF699C7	Th2	Effector CD8 T	HLA-E	KLRC1	2.152	0.352	0	1.252	1.252	curated	HLA-E_KLRC1	HLA-E	KLRC1	13
CPI-SS0C4FA643F	Th2	Effector CD8 T	HLA-E	KLRC2	2.152	0.331	0	1.241	1.241	curated	HLA-E_KLRC2	HLA-E	KLRC2	17
CPI-SS09808DEAE	Th2	pDC and Mast	CD74	APP	1.704	0.759	0	1.232	1.232	curated	CD74_APP	CD74	APP	8
CPI-SS059EC4FAE	Th2	Effector CD8 T	PTPRC	SEMA4D	2.118	0.334	0	1.226	1.226	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS059EC4FAE	Th2	NK and gdT	PTPRC	SEMA4D	2.118	0.323	0	1.221	1.221	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS0632A027A	Th2	DC-like Monocytes	CD44	HBEGF	1.712	0.728	0	1.22	1.22	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS06CCF5A54	Th2	DC-like Monocytes	ANXA1	FPR3	1.843	0.59	0	1.217	1.217	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS052C9BB74	Th2	CD163+CD16A+CCL18+ Monocytes	NR3C1	CXCL8	0.806	1.618	0	1.212	1.212	I2D,InnateDB	NR3C1_CXCL8	NR3C1	CXCL8	3
CPI-SS0C4FA643F	Th2	NK and gdT	HLA-E	KLRC2	2.152	0.268	0	1.21	1.21	curated	HLA-E_KLRC2	HLA-E	KLRC2	17
CPI-SS01560CA22	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD99	PILRA	1.83	0.554	0	1.192	1.192	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS0632A027A	Th2	FCN1+VCAN+IL1Bhigh Monocytes	CD44	HBEGF	1.712	0.669	0	1.191	1.191	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS06CCF5A54	Th2	CD1C+CLEC10A+IL1Bhigh DC	ANXA1	FPR3	1.843	0.519	0	1.181	1.181	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS0F739D3DB	Th2	DC-like Monocytes	ANXA1	FPR1	1.843	0.514	0	1.179	1.179	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS09808DEAE	Th2	Keratinocyte CCL2+ Cluster3	CD74	APP	1.704	0.647	0	1.175	1.175	curated	CD74_APP	CD74	APP	8
CPI-SS059EC4FAE	Th2	Th2	PTPRC	SEMA4D	2.118	0.223	0	1.17	1.17	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS0703338F5	Th2	Keratinocyte 7	LGALS9	CD44	0.117	2.219	0	1.168	1.168	InnateDB	LGALS9_CD44	LGALS9	CD44	22
CPI-SS03339363E	Th2	Memory CD4 T	HLA-E	KLRK1	2.152	0.185	0	1.168	1.168	curated	HLA-E_KLRK1	HLA-E	KLRK1	10
CPI-SS059EC4FAE	Th2	Memory CD4 T	PTPRC	SEMA4D	2.118	0.212	0	1.165	1.165	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS09808DEAE	Th2	Keratinocyte 5	CD74	APP	1.704	0.623	0	1.164	1.164	curated	CD74_APP	CD74	APP	8
CPI-SS0A84B95C5	Th2	Fibroblast 0	NR3C1	CCL2	0.806	1.512	0	1.159	1.159	InnateDB	NR3C1_CCL2	NR3C1	CCL2	15
CPI-SS059EC4FAE	Th2	Proliferating T	PTPRC	SEMA4D	2.118	0.2	0	1.159	1.159	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS06CCF5A54	Th2	CD163+CD16A+CCL18+ Monocytes	ANXA1	FPR3	1.843	0.449	0	1.146	1.146	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS0822AEF5F	Th2	APOE+CD9+ Monocytes	PTPRC	MRC1	2.118	0.173	0	1.145	1.145	curated	PTPRC_MRC1	PTPRC	MRC1	6
CPI-SS06CCF5A54	Th2	CD1C+CLEC10A+IL1Blow DC	ANXA1	FPR3	1.843	0.44	0	1.142	1.142	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS03339363E	Th2	Proliferating T	HLA-E	KLRK1	2.152	0.116	0	1.134	1.134	curated	HLA-E_KLRK1	HLA-E	KLRK1	10
CPI-SS0F739D3DB	Th2	CD1C+CLEC10A+IL1Bhigh DC	ANXA1	FPR1	1.843	0.423	0	1.133	1.133	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS059EC4FAE	Th2	Treg	PTPRC	SEMA4D	2.118	0.141	0	1.129	1.129	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS09808DEAE	Th2	APOE+CD9+ Monocytes	CD74	APP	1.704	0.548	0	1.126	1.126	curated	CD74_APP	CD74	APP	8
CPI-SS059EC4FAE	Th2	FCN1+VCAN+IL1Bhigh Monocytes	PTPRC	SEMA4D	2.118	0.134	0	1.126	1.126	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS09808DEAE	Th2	Keratinocyte CCL2- Cluster3	CD74	APP	1.704	0.523	0	1.114	1.114	curated	CD74_APP	CD74	APP	8
CPI-SS06B86672A	Th2	Keratinocyte 1	CD44	FGFR2	1.712	0.513	0	1.113	1.113	InnateDB-All	CD44_FGFR2	CD44	FGFR2	23
CPI-SS0F739D3DB	Th2	CD163+CD16A+CCL18+ Monocytes	ANXA1	FPR1	1.843	0.382	0	1.112	1.112	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS059EC4FAE	Th2	Keratinocyte 2	PTPRC	SEMA4D	2.118	0.1	0	1.109	1.109	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS09808DEAE	Th2	Keratinocyte 2	CD74	APP	1.704	0.512	0	1.108	1.108	curated	CD74_APP	CD74	APP	8
CPI-SS059EC4FAE	Th2	APOE+CD9+ Monocytes	PTPRC	SEMA4D	2.118	0.077	0	1.098	1.098	curated	PTPRC_SEMA4D	PTPRC	SEMA4D	18
CPI-SS01560CA22	Th2	CD163+CD16A+CCL18+ Monocytes	CD99	PILRA	1.83	0.353	0	1.092	1.092	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS0C4E86714	Th2	CD1C+CLEC10A+IL1Bhigh DC	TNFRSF1B	GRN	0.592	1.591	0	1.092	1.092	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0F3D40856	Th2	Effector CD8 T	PGRMC2	CCL4L2	0.104	2.08	0	1.092	1.092	IMEx,IntAct	PGRMC2_CCL4L2	PGRMC2	CCL4L2	25
CPI-SS0D4C221B8	Th2	pDC and Mast	ICAM1	AREG	0.244	1.938	0	1.091	1.091	InnateDB-All	ICAM1_AREG	ICAM1	AREG	16
CPI-SS0073098F3	Th2	Langerhans cells	IL13	TMEM219	1.237	0.944	0	1.09	1.09	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0F3D40856	Th2	DC-like Monocytes	PGRMC2	CCL4L2	0.104	2.054	0	1.079	1.079	IMEx,IntAct	PGRMC2_CCL4L2	PGRMC2	CCL4L2	25
CPI-SS01560CA22	Th2	DC-like Monocytes	CD99	PILRA	1.83	0.328	0	1.079	1.079	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS0632A027A	Th2	Keratinocyte 7	CD44	HBEGF	1.712	0.447	0	1.079	1.079	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0302E8E8F	Th2	Fibroblast 1	CD74	COPA	1.704	0.441	0	1.072	1.072	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0073098F3	Th2	CD1C+CLEC10A+IL1Blow DC	IL13	TMEM219	1.237	0.9	0	1.068	1.068	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS09808DEAE	Th2	CD1C+CLEC10A+IL1Blow DC	CD74	APP	1.704	0.421	0	1.063	1.063	curated	CD74_APP	CD74	APP	8
CPI-SS09808DEAE	Th2	Keratinocyte 0	CD74	APP	1.704	0.414	0	1.059	1.059	curated	CD74_APP	CD74	APP	8
CPI-SS0073098F3	Th2	CD1C+CLEC10A+IL1Bhigh DC	IL13	TMEM219	1.237	0.868	0	1.052	1.052	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS01560CA22	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD99	PILRA	1.83	0.27	0	1.05	1.05	curated	CD99_PILRA	CD99	PILRA	21
CPI-SS0632A027A	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD44	HBEGF	1.712	0.373	0	1.043	1.043	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0632A027A	Th2	APOE+CD9+ Monocytes	CD44	HBEGF	1.712	0.363	0	1.037	1.037	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS06CCF5A54	Th2	FCN1+VCAN+IL1Bhigh Monocytes	ANXA1	FPR3	1.843	0.227	0	1.035	1.035	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS0302E8E8F	Th2	pDC and Mast	CD74	COPA	1.704	0.361	0	1.033	1.033	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0632A027A	Th2	Keratinocyte 5	CD44	HBEGF	1.712	0.348	0	1.03	1.03	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0F739D3DB	Th2	CD1C+CLEC10A+IL1Blow DC	ANXA1	FPR1	1.843	0.213	0	1.028	1.028	guidetopharmacology.org	ANXA1_FPR1	ANXA1	FPR1	14
CPI-SS0C4E86714	Th2	CD163+CD16A+CCL18+ Monocytes	TNFRSF1B	GRN	0.592	1.442	0	1.017	1.017	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0302E8E8F	Th2	Fibroblast 6	CD74	COPA	1.704	0.323	0	1.014	1.014	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0073098F3	Th2	FCN1+VCAN+IL1Bhigh Monocytes	IL13	TMEM219	1.237	0.787	0	1.012	1.012	IMEx,IntAct	IL13_TMEM219	IL13	TMEM219	26
CPI-SS0302E8E8F	Th2	Treg	CD74	COPA	1.704	0.32	0	1.012	1.012	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0632A027A	Th2	Keratinocyte 2	CD44	HBEGF	1.712	0.311	0	1.011	1.011	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0632A027A	Th2	CD163+CD16A+CCL18+ Monocytes	CD44	HBEGF	1.712	0.308	0	1.01	1.01	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS098EFF959	Th2	Fibroblast 0	CCR7	CCL19	0.211	1.802	0	1.007	1.007	curated	CCR7_CCL19	CCR7	CCL19	28
CPI-SS0632A027A	Th2	Keratinocyte 1	CD44	HBEGF	1.712	0.302	0	1.007	1.007	I2D,InnateDB-All	CD44_HBEGF	CD44	HBEGF	19
CPI-SS0302E8E8F	Th2	Keratinocyte 7	CD74	COPA	1.704	0.308	0	1.006	1.006	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS06CCF5A54	Th2	Langerhans cells	ANXA1	FPR3	1.843	0.165	0	1.004	1.004	curated	ANXA1_FPR3	ANXA1	FPR3	20
CPI-SS0302E8E8F	Th2	Th2	CD74	COPA	1.704	0.297	0	1.001	1.001	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Fibroblast 0	CD74	COPA	1.704	0.296	0	1	1	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	Proliferating T	CD74	COPA	1.704	0.294	0	0.999	0.999	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0302E8E8F	Th2	CD1C+CLEC10A+IL1Bhigh DC	CD74	COPA	1.704	0.286	0	0.995	0.995	IMEx,IntAct	CD74_COPA	CD74	COPA	27
CPI-SS0C4E86714	Th2	CD1C+CLEC10A+IL1Blow DC	TNFRSF1B	GRN	0.592	1.399	0	0.995	0.995	IMEx,InnateDB-All,MINT	TNFRSF1B_GRN	TNFRSF1B	GRN	24
CPI-SS0302E8E8F	Th2	Langerhans cells	CD74	COPA	1.704	0.281	0	0.993	0.993	IMEx,IntAct	CD74_COPA	CD74	COPA	27
